Market,Region,Release Date,Opening Day Sales ($USD),Gross Sales ($USD)
Sweden,"Europe, Middle East, and Africa",2/13/2015,2696028,4885001
Switzerland (French),"Europe, Middle East, and Africa",2/11/2015,699259,1944086
Switzerland (German),"Europe, Middle East, and Africa",2/12/2015,1561396,4311891
Switzerland (Combined),"Europe, Middle East, and Africa",na,2260655,6255977
Turkey,"Europe, Middle East, and Africa",2/13/2015,1539197,3946274
Ukraine,"Europe, Middle East, and Africa",2/12/2015,857407,2413538
United Kingdom,"Europe, Middle East, and Africa",2/13/2015,20876148,51603774
Argentina,Latin America,2/12/2015,3219933,3222236
Bolivia,Latin America,2/12/2015,127602,481608
Brazil,Latin America,2/12/2015,6498705,31374704
Chile,Latin America,2/12/2015,1245916,3481152
Colombia,Latin America,2/12/2015,1330573,4281356
Ecuador,Latin America,2/13/2015,506926,1609451
Mexico,Latin America,2/12/2015,5495154,14148888
Peru,Latin America,2/12/2015,759190,1722020
Uruguay,Latin America,2/12/2015,160641,572450
Venezuela,Latin America,2/13/2015,1260571,7944249
Australia,Asia Pacific,2/12/2015,8116405,18229895
Hong Kong,Asia Pacific,2/12/2015,631309,1590469
Japan,Asia Pacific,2/13/2015,674637,3622898
New Zealand,Asia Pacific,2/12/2015,1052362,2538510
Philippines,Asia Pacific,2/11/2015,2047933,3565511
Russia/CIS,Asia Pacific,2/12/2015,11135621,17659358
Singapore,Asia Pacific,2/12/2015,641621,1837395
South Korea,Asia Pacific,2/26/2015,1248412,2483760
Taiwan,Asia Pacific,2/13/2015,1413708,3930191
Thailand,Asia Pacific,2/12/2015,497819,1205094
>>>>>>> f9d4991f3f087e755d490323ab02e02fc0af199e,,,,
